Wall time,Step,Value
1706302650.3661327,6,0.0891420766711235
1706302650.5761912,7,0.08594931662082672
1706302651.6289632,12,0.06218155845999718
1706302652.243534,15,0.09740325063467026
1706302652.4467008,16,0.09157875925302505
1706302653.0690136,19,0.03630577772855759
1706302653.4768372,21,0.026897814124822617
1706302654.294984,25,0.013106253929436207
1706302656.768216,37,0.0012917900457978249
1706302657.5929937,41,0.002177195390686393
1706302658.0064297,43,0.0019380886806175113
1706302658.4200664,45,0.0010993682080879807
1706302658.623889,46,0.0010520581854507327
1706302659.0281522,48,0.001138103543780744
1706302660.2617733,54,0.0012708206195384264
1706302660.4690228,55,0.001271513756364584
1706302660.6768453,56,0.0008987266337499022
1706302660.8853526,57,0.000639135017991066
1706302661.085111,58,0.0005995668470859528
1706302662.7472298,66,0.00047491962322965264
1706302663.4083054,69,0.00040753232315182686
1706302664.0429552,72,0.0003900028532370925
1706302664.2552218,73,0.00037674937630072236
1706302664.4671197,74,0.00036509177880361676
1706302664.6812708,75,0.00035828957334160805
1706302665.7490988,80,0.00012501419405452907
1706302667.4669485,88,0.00015849154442548752
1706302667.6837409,89,0.00010678296530386433
1706302668.9541728,95,8.201377204386517e-05
1706302670.6887314,103,6.312768528005108e-05
1706302671.315941,106,5.833773684571497e-05
1706302671.5240855,107,6.0843100072816014e-05
1706302673.0366435,114,5.193916513235308e-05
1706302673.6635642,117,4.205276127322577e-05
1706302674.0883155,119,3.062050382141024e-05
1706302675.85023,127,2.8103750082664192e-05
1706302676.4675977,130,2.7728641725843772e-05
1706302676.6827102,131,3.950579775846563e-05
1706302678.5913897,140,1.1359677955624647e-05
1706302679.0273051,142,1.4264741366787348e-05
1706302679.2372642,143,1.517991131549934e-05
1706302679.440977,144,1.1735358384612482e-05
1706302680.9249804,151,5.855078143213177e-06
1706302681.9780667,156,5.354738277674187e-06
1706302682.4006476,158,4.383241503091995e-06
1706302682.612153,159,4.324657766119344e-06
1706302683.4593554,163,2.903420636357623e-06
1706302684.5281937,168,2.8074721285520354e-06
1706302684.7432919,169,2.533257202230743e-06
1706302685.3933625,172,2.245549239887623e-06
1706302686.6613548,178,2.972521315314225e-06
1706302686.8697681,179,2.269352989969775e-06
1706302687.2867205,181,1.4021921970197582e-06
1706302687.932857,184,1.3243179637356661e-06
1706302688.3427794,186,1.1719760095729725e-06
1706302688.552606,187,1.0220411468253587e-06
1706302688.9720793,189,7.689587846471113e-07
1706302689.399098,191,8.776340223448642e-07
1706302689.6182826,192,7.421637064908282e-07
1706302691.0980937,199,4.7232848032763286e-07
1706302692.8373172,207,5.001829777029343e-07
1706302693.0502212,208,4.792713070855825e-07
1706302693.257577,209,4.434999709701515e-07
1706302694.1044552,213,2.727971946114849e-07
1706302696.2014542,223,1.419988535644734e-07
1706302696.4079332,224,1.5062963143464003e-07
1706302696.8263485,226,2.5183368279613205e-07
1706302697.6681983,230,1.2338739452388836e-07
1706302698.3103476,233,1.1430763180442227e-07
1706302698.523796,234,1.0629140234641454e-07
1706302698.7367346,235,9.317884774873164e-08
1706302699.3731604,238,8.615189273086798e-08
1706302701.895616,250,4.1390450178369065e-08
1706302703.1815932,256,3.630487555028594e-08
1706302703.8139057,259,2.7087493137400998e-08
1706302704.2345812,261,2.220280137521513e-08
1706302704.4577723,262,2.7523510581772825e-08
1706302704.8871708,264,1.7482609138141925e-08
1706302705.7152548,268,1.3595349734885076e-08
1706302706.591371,272,9.09557673622885e-09
1706302707.0019772,274,1.1309495562272787e-08
1706302708.0451734,279,1.2170581875636799e-08
1706302711.0528278,293,4.39289982168134e-09
1706302712.0959585,298,3.0871365463980283e-09
1706302712.3004427,299,3.4737888121583183e-09
1706302713.1457908,303,1.886934830608311e-09
1706302713.3524177,304,1.8650301303324568e-09
1706302714.1979747,308,1.4630759936906657e-09
1706302714.4063437,309,1.2010070715717802e-09
1706302714.8245075,311,1.156747697628191e-09
1706302715.4533281,314,9.47417366781167e-10
1706302716.4967122,319,8.247634242231072e-10
1706302716.7076602,320,7.586485883948058e-10
1706302716.9193065,321,6.446615463673311e-10
1706302717.9931617,326,4.91403362445908e-10
1706302718.1988528,327,4.550319843144024e-10
1706302718.4067857,328,4.488951710346356e-10
1706302719.0533683,331,4.226120009498402e-10
1706302720.998878,340,1.737312654848111e-10
1706302721.4303849,342,1.672109950501266e-10
1706302722.7151132,348,1.2052490949709949e-10
1706302723.980961,354,6.48371287215177e-11
1706302724.1888666,355,6.352847414792251e-11
1706302725.419615,361,3.734146672429439e-11
1706302726.0456452,364,3.753500635306217e-11
1706302726.8603177,368,3.416806768075098e-11
1706302727.6817796,372,1.7034649732461382e-11
1706302728.081194,374,2.629590468983256e-11
1706302728.8981283,378,1.904013752218603e-11
1706302729.0986345,379,1.8813740496059772e-11
1706302729.301637,380,1.8402272761175453e-11
1706302729.725268,382,1.661375377548513e-11
1706302730.7620354,387,1.2891752769472742e-11
1706302731.7869153,392,9.257514893556973e-12
1706302731.9893599,393,9.106041441719892e-12
1706302732.189303,394,8.837419511464883e-12
1706302735.2930064,409,1.926528598109045e-12
1706302736.7471712,416,1.9990927316304585e-12
1706302737.9959767,422,1.2530687208342495e-12
1706302738.2002263,423,8.962470522677624e-13
1706302738.6096117,425,8.969361711685941e-13
1706302739.0293858,427,3.1987588034083914e-13
1706302739.8528821,431,2.810744258868736e-13
1706302741.6935203,440,1.4371617502832723e-13
1706302742.105445,442,1.315988604980861e-13
1706302742.3067038,443,1.3090273494071464e-13
1706302742.9226313,446,1.2038474058763404e-13
1706302744.1531966,452,6.525000402187245e-14
1706302745.807036,460,4.129551925023331e-14
1706302746.012853,461,3.6125904378419074e-14
1706302746.643617,464,2.644380618340228e-14
1706302746.8508046,465,2.8007874543363974e-14
1706302748.697881,474,1.623135186098936e-14
1706302748.9057171,475,1.1894123889738453e-14
1706302751.1560822,486,9.281364366571943e-15
1706302751.7661474,489,4.269336586462582e-15
1706302751.9670527,490,4.5716015642397e-15
1706302752.383556,492,2.72594133612805e-15
1706302752.7914712,494,2.546698788335436e-15
1706302755.661655,508,1.2079202282779412e-15
1706302756.690938,513,8.353658095597012e-16
1706302757.0995877,515,4.736332425942598e-16
1706302757.724469,518,4.768644615297981e-16
1706302758.1289184,520,4.4158474518326846e-16
1706302759.1615934,525,3.6736443609217606e-16
1706302759.3640432,526,3.181826591499372e-16
1706302760.6031563,532,1.0676307007914131e-16
1706302761.0193367,534,1.0465426906038842e-16
1706302761.219132,535,1.0349978962306041e-16
1706302761.6233191,537,1.0171442945870556e-16
1706302761.8240623,538,1.0329748109756464e-16
1706302762.4338515,541,1.5821249318752285e-16
1706302762.8490915,543,1.0628074437268409e-16
