Wall time,Step,Value
1706303311.5958555,6,0.06477399915456772
1706303312.015581,7,0.059546004980802536
1706303314.1031504,12,0.06841596961021423
1706303315.3383236,15,0.06286630034446716
1706303315.7503543,16,0.06659778207540512
1706303316.998076,19,0.060431111603975296
1706303317.8017874,21,0.05150400474667549
1706303319.4434443,25,0.026073796674609184
1706303324.4197454,37,0.005024021025747061
1706303326.086706,41,0.003499286249279976
1706303326.9466088,43,0.00363204930908978
1706303327.7537794,45,0.0035447150003165007
1706303328.3305748,46,0.0030582481995224953
1706303329.465504,48,0.0020423156674951315
1706303332.9128225,54,0.0009450595243833959
1706303333.5017357,55,0.0009185683447867632
1706303334.0726988,56,0.0009783330606296659
1706303334.647716,57,0.0010720592690631747
1706303335.1613941,58,0.0011240642052143812
1706303339.4785743,66,0.0009485997725278139
1706303341.1845815,69,0.0007287593325600028
1706303342.8314672,72,0.0006123239290900528
1706303343.3985212,73,0.0006346456939354539
1706303343.9524076,74,0.0006125150248408318
1706303344.4605496,75,0.0005382366362027824
1706303347.1007879,80,0.00045737059554085135
1706303351.3809085,88,0.00039739973726682365
1706303351.953701,89,0.0003856527619063854
1706303355.3293722,95,0.00015524167974945158
1706303359.8458774,103,0.0001465740060666576
1706303361.513476,106,0.00013240128464531153
1706303362.018853,107,0.00011655856360448524
1706303366.7064633,114,8.679115126142278e-05
1706303368.2114468,117,8.492302004015073e-05
1706303369.058626,119,8.385699766222388e-05
1706303372.3314974,127,7.421131886076182e-05
1706303373.5925148,130,6.983772618696094e-05
1706303373.9973686,131,6.960175960557535e-05
1706303379.5915844,140,8.031044126255438e-05
1706303380.805634,142,3.118661334156059e-05
1706303381.4063838,143,2.759908420557622e-05
1706303382.0612123,144,2.7384621716919355e-05
1706303386.2333002,151,2.7467709514894523e-05
1706303389.2208407,156,4.047716356581077e-05
1706303390.4733675,158,3.680094960145652e-05
1706303391.0818624,159,2.3849243007134646e-05
1706303393.5547698,163,1.399168831994757e-05
1706303396.586156,168,1.3808295079797972e-05
1706303397.1954036,169,1.445450743631227e-05
1706303399.1757002,172,2.0926692741340958e-05
1706303402.9212487,178,8.448005246464163e-06
1706303403.6900992,179,8.26860559755005e-06
1706303404.9781756,181,7.960289622133132e-06
1706303406.7782395,184,7.896953320596367e-06
1706303408.1057456,186,8.264938514912501e-06
1706303408.6613843,187,8.492509550706018e-06
1706303409.7877216,189,8.466350664093625e-06
1706303411.1254725,191,9.291747119277716e-06
1706303411.8136618,192,1.00153629318811e-05
1706303415.889839,199,2.737590421020286e-06
1706303420.173177,207,4.542107944871532e-06
1706303420.5888028,208,5.913790118938778e-06
1706303421.0016782,209,5.826435881317593e-06
1706303422.6696637,213,1.8798979226630763e-06
1706303426.7814076,223,3.4258659979968797e-06
1706303427.1806476,224,4.263345545041375e-06
1706303428.0700176,226,3.075145059483475e-06
1706303429.7530947,230,9.814284567255527e-07
1706303430.9868746,233,1.0596637594062486e-06
1706303431.382162,234,1.0684129847504664e-06
1706303431.8027275,235,1.0747245369202574e-06
1706303433.0885463,238,1.1937460158151225e-06
1706303438.1151507,250,3.251941507187439e-07
1706303440.6195579,256,5.060069270257372e-07
1706303441.861535,259,3.5015281696360034e-07
1706303442.6712708,261,1.351822902506683e-07
1706303443.0979137,262,1.1802284660689111e-07
1706303443.9031873,264,1.1506005392902807e-07
1706303445.5331645,268,1.1806339017539358e-07
1706303447.166407,272,1.3211030136517365e-07
1706303447.9881647,274,2.846092854724702e-07
1706303450.070977,279,1.7246632921796845e-07
1706303455.8235586,293,7.941729052163282e-08
1706303457.882949,298,2.312972497975352e-07
1706303458.2841785,299,1.548306869381122e-07
1706303459.950308,303,3.528665715180068e-08
1706303460.3457274,304,3.4991920472293714e-08
1706303462.0213337,308,3.5401658493583454e-08
1706303462.4293349,309,3.554472982614243e-08
1706303463.2601879,311,3.407198434501879e-08
1706303464.498455,314,3.427058103966374e-08
1706303466.5797157,319,5.5316561997642566e-08
1706303467.0050406,320,3.5070669923698006e-08
1706303467.4053102,321,2.233392137895862e-08
1706303469.483402,326,1.1155415258201629e-08
1706303469.89338,327,1.1117162301843564e-08
1706303470.2995563,328,1.1331146687609817e-08
1706303471.5750682,331,1.277156336243479e-08
1706303475.257389,340,6.208217051550946e-09
1706303476.1017823,342,4.7220871657316366e-09
1706303478.586381,348,5.892715204680599e-09
1706303481.0779507,354,1.1873689587105218e-08
1706303481.4909976,355,5.6869779996304715e-09
1706303483.970979,361,1.7134658136797043e-09
1706303485.2340918,364,1.692833317967768e-09
1706303486.8871045,368,2.9922335720300453e-09
1706303488.5221581,372,4.896155036959726e-09
1706303489.3181546,374,1.4637749901069697e-09
1706303490.9614148,378,9.048647942044852e-10
1706303491.3840146,379,8.659153949430731e-10
1706303491.7952461,380,8.38005664860475e-10
1706303492.6213849,382,8.224740333240277e-10
1706303494.6921732,387,1.3411847188393722e-09
1706303496.789368,392,1.4386527524834491e-09
1706303497.2082636,393,9.083491181449688e-10
1706303497.6193526,394,4.909952444620558e-10
1706303503.7344396,409,3.7696035182221976e-10
1706303506.6794686,416,5.0379596328031795e-11
1706303509.1863797,422,4.912142567703448e-11
1706303509.5981436,423,4.9136156948792475e-11
1706303510.8193538,425,5.780280767919699e-11
1706303511.9503217,427,7.120759537571075e-11
1706303514.131415,431,2.204730842336744e-10
1706303519.2422364,440,3.0697073355456794e-11
1706303520.3927064,442,3.137721679702388e-11
