Wall time,Step,Value
1706300642.3038669,1,0.22813832759857178
1706300642.3093913,2,0.03429076448082924
1706300642.3185382,3,0.02451099455356598
1706300642.3238544,4,0.052408553659915924
1706300642.3298366,5,0.05765371397137642
1706300642.334855,6,0.032006531953811646
1706300642.3398223,7,0.008326946757733822
1706300642.3463435,8,0.0050678313709795475
1706300642.3513427,9,0.009693448431789875
1706300642.3553424,10,0.013008340261876583
1706300642.3623438,11,0.010045191273093224
1706300642.371463,12,0.004113305360078812
1706300642.3784454,13,0.0009508732473477721
1706300642.384464,14,0.0001995666098082438
1706300642.3904629,15,8.441912359558046e-05
1706300642.398561,16,7.672702486161143e-05
1706300642.403559,17,6.818981637479737e-05
1706300642.4095588,18,6.852307706139982e-05
1706300642.4155598,19,4.893244113191031e-05
1706300642.4215593,20,4.602915942086838e-05
1706300642.4297028,21,2.0033739929203875e-05
1706300642.4367015,22,6.320249212876661e-06
1706300642.4417007,23,5.106580260871851e-07
1706300642.4474268,24,3.473019916100384e-08
1706300642.4534273,25,3.908720458412063e-09
1706300642.4594276,26,1.1894907281373435e-09
1706300642.4644263,27,1.6827587934198363e-11
1706300642.4714262,28,1.3077097998220877e-12
1706300642.4784262,29,2.0797125415035478e-14
1706300642.4854279,30,8.103509678635912e-16
1706300642.4904268,31,1.2403177065719237e-17
1706300642.4975703,32,2.001951452051453e-17
1706300642.5035696,33,6.74616785221758e-18
1706300642.5135906,34,1.541660348187543e-17
1706300642.518568,35,1.4268235254912962e-17
1706300642.5247293,36,6.340937033211527e-18
1706300642.5297549,37,1.2030504075623271e-17
1706300642.5357354,38,2.8490955723800806e-17
1706300642.5417533,39,2.3543082245586265e-17
1706300642.5481083,40,1.7891546072607565e-17
1706300642.5541067,41,3.193621922336582e-17
1706300642.5621061,42,4.517764375105343e-17
1706300642.570106,43,3.349444882640341e-17
1706300642.5772552,44,4.2045428408670336e-17
1706300642.586257,45,1.9968662765177222e-17
1706300642.591275,46,1.1764620102607901e-17
1706300642.596255,47,1.8995691569661723e-17
1706300642.6022546,48,1.4594872335197902e-17
1706300642.6142566,49,9.438578293941437e-18
1706300642.628257,50,1.774750414946003e-17
1706300642.6342633,51,1.3810006146880024e-17
1706300642.640262,52,1.852976554602898e-17
1706300642.6497781,53,1.394849851529794e-17
1706300642.655778,54,9.995440418215198e-18
1706300642.6657963,55,1.6931010710421188e-17
1706300642.671778,56,1.0652442681805854e-17
1706300642.676777,57,1.5242740043284134e-17
1706300642.6867795,58,2.3594291342948198e-17
1706300642.691777,59,2.971972921502588e-17
1706300642.7019045,60,1.0393660881529864e-17
1706300642.709922,61,7.368409918517226e-18
1706300642.7199042,62,1.2191906865467068e-17
1706300642.7259028,63,2.7152039825291848e-17
1706300642.7309096,64,2.2336824610634886e-17
1706300642.7369106,65,2.5323565353049506e-17
1706300642.7435312,66,4.2085940406350733e-17
1706300642.748534,67,1.2439826129939012e-17
1706300642.7545345,68,3.9772954816472806e-17
1706300642.7635546,69,1.0716652576855282e-17
1706300642.7695324,70,9.392519388509382e-17
1706300642.7776651,71,8.408916275144616e-18
1706300642.7886841,72,2.27211509212005e-17
1706300642.7957957,73,3.3413358656593614e-17
1706300642.8007946,74,3.3498511937572273e-17
1706300642.8107963,75,1.1033411466265114e-17
1706300642.8157947,76,2.6122008056761216e-17
1706300642.8227944,77,2.4382108084511052e-17
1706300642.8288002,78,1.2481653344793368e-17
1706300642.8378015,79,6.569994925356036e-18
1706300642.8475535,80,4.132795841512144e-17
1706300642.8525336,81,5.657012770378291e-17
1706300642.8605354,82,2.0279022585368343e-17
1706300642.8666682,83,2.1794144497963347e-17
1706300642.8726685,84,2.6489054564330596e-17
1706300642.877784,85,7.780363565233742e-17
1706300642.8857841,86,1.8921278401756452e-17
1706300642.891801,87,1.8763530095858915e-17
1706300642.897784,88,1.6813948110132684e-17
1706300642.9022312,89,1.8354959121539373e-17
1706300642.9072356,90,4.07026065633089e-17
1706300642.9122367,91,2.484880669483592e-17
1706300642.9202635,92,3.2538085763226754e-17
1706300642.924751,93,4.2015596967059224e-17
1706300642.9307582,94,1.1544559453986132e-17
1706300642.9367568,95,2.054839560620746e-17
1706300642.9417553,96,4.4131792980488336e-17
1706300642.9463727,97,4.1555615063308286e-17
1706300642.9523735,98,1.7766024723375093e-17
1706300642.957472,99,2.3729062225790238e-17
1706300642.964494,100,2.981719756096423e-17
